0  "L5S2_PAA_06.wav" 
26  "L5S2_EOS_03.wav"
En: "The tech in the main control room is on our side. Once you've sabotaged the other four systems, get in there and he'll know what to do."
Gr: "(gr)The tech in the main control room is on our side. Once you've sabotaged the other four systems, get in there and he'll know what to do."
Fr: "(fr)The tech in the main control room is on our side. Once you've sabotaged the other four systems, get in there and he'll know what to do." 

27  "L5S2_PAA_09.wav" 
En: "Turbine chamber pressure returning to operational parameters. Code Red canceled."
Gr: "(gr)Turbine chamber pressure returning to operational parameters. Code Red canceled."
Fr: "(fr)Turbine chamber pressure returning to operational parameters. Code Red canceled." 

28  "L5S2_GRDC_02.wav"
En: "Stop them! Turn off those overrides!"
Gr: "(gr)Stop them! Turn off those overrides!"
Fr: "(fr)Stop them! Turn off those overrides!" 

29  "L5S2_TECH_07.wav"
En: "Hurry up, guards will be here soon."
Gr: "(gr)Hurry up, guards will be here soon."
Fr: "(fr)Hurry up, guards will be here soon." 

30  "L5S2_EOS_01.wav"
En: "Hendrix says you made it into the geothermal plant."
Gr: "(gr)Hendrix says you made it into the geothermal plant."
Fr: "(fr)Hendrix says you made it into the geothermal plant." 

31  "L5S2_PAA_11.wav"
En: "Geothermal plant inoperative. Containment shields in place."
Gr: "(gr)Geothermal plant inoperative. Containment shields in place."
Fr: "(fr)Geothermal plant inoperative. Containment shields in place." 



