0  "TRAINING_PS2_01_INST_01.wav" 
Fr: "(fr)You need to let the medic heal you before moving on to the next section of training." 

35 "TRAINING_PS2_01_INST_25.wav" 
En: "You must dump the body in the storage room before you can advance to the next training stage."
Gr: "(gr)You must dump the body in the storage room before you can advance to the next training stage."
Fr: "(fr)You must dump the body in the storage room before you can advance to the next training stage." 

36 "TRAINING_PS2_01_INST_26.wav"
En: "You need to open some of the containers before you can progress to the next section of training."
Gr: "(gr)You need to open some of the containers before you can progress to the next section of training."
Fr: "(fr)You need to open some of the containers before you can progress to the next section of training." 

37  "TRAINING_PS2_01_INST_27.wav"  
En: "If those barrels were guards, you'd be dead. Move along to the next area."
Gr: "(gr)If those barrels were guards, you'd be dead. Move along to the next area."
Fr: "(fr)If those barrels were guards, you'd be dead. Move along to the next area." 
