0  "L8S1_HEN_01.wav"  
Fr: "(fr)It's almost as sickening out here as it is in there." 

22  "L8S1_NUR_04.wav" 
En: "Shall we bring him back to the ward, doctor?"
Gr: "(gr)Shall we bring him back to the ward, doctor?"
Fr: "(fr)Shall we bring him back to the ward, doctor?" 

23  "L8S1_DOC_05.wav"  
En: "No, keep him here on life support in case we need to harvest more."
Gr: "(gr)No, keep him here on life support in case we need to harvest more."
Fr: "(fr)No, keep him here on life support in case we need to harvest more." 

24  "L8S1_NUR_05.wav"  
En: "Yes, doctor."
Gr: "(gr)Yes, doctor."
Fr: "(fr)Yes, doctor." 

25  "L8S1_DOC_06.wav"  
En: "You're late. The organs are already on the specimen ward."
Gr: "(gr)You're late. The organs are already on the specimen ward."
Fr: "(fr)You're late. The organs are already on the specimen ward." 

26  "L8S1_DOC_07.wav"  
En: "Take them to the labs right away."
Gr: "(gr)Take them to the labs right away."
Fr: "(fr)Take them to the labs right away." 

27  "L8S1_DOC_08.wav" 
En: "I'll be in my office if his condition changes."
Gr: "(gr)I'll be in my office if his condition changes."
Fr: "(fr)I'll be in my office if his condition changes." 

28  "L8S1_NUR_06.wav" 
En: "You'd better hurry. The organs won't keep for long. It'll be your fault if they're unusable."
Gr: "(gr)You'd better hurry. The organs won't keep for long. It'll be your fault if they're unusable."
Fr: "(fr)You'd better hurry. The organs won't keep for long. It'll be your fault if they're unusable." 

29  "L8S1_NUR_07.wav" 
En: "They're over here."
Gr: "(gr)They're over here."
Fr: "(fr)They're over here." 

30  "L8S1_HEN_08.wav"
En: "Go along with this, Parker. It might help you slip past checkpoints easier."
Gr: "(gr)Go along with this, Parker. It might help you slip past checkpoints easier."
Fr: "(fr)Go along with this, Parker. It might help you slip past checkpoints easier." 

31  "L8S1_MIN_03.wav"
En: "Oooooh [low, wordless moan of pain]"
Gr: "(gr)Oooooh [low, wordless moan of pain]"
Fr: "(fr)Oooooh [low, wordless moan of pain]" 

32  "L8S1_MIN_04.wav"
En: "Arrrr [low, wordless moan of pain]"
Gr: "(gr)Arrrr [low, wordless moan of pain]"
Fr: "(fr)Arrrr [low, wordless moan of pain]" 

33  "L8S1_NUR_08.wav" 
En: "Good. Now hurry up -- don't keep them waiting in the lab."
Gr: "(gr)Good. Now hurry up -- don't keep them waiting in the lab."
Fr: "(fr)Good. Now hurry up -- don't keep them waiting in the lab." 

34  "L8S1_DOC_09.wav"
En: "Actually, compared to just a year ago, our failure rate is much lower."
Gr: "(gr)Actually, compared to just a year ago, our failure rate is much lower."
Fr: "(fr)Actually, compared to just a year ago, our failure rate is much lower." 

35  "L8S1_MED_03.wav" 
En: "I know, but the wasted resources still bother me."
Gr: "(gr)I know, but the wasted resources still bother me."
Fr: "(fr)I know, but the wasted resources still bother me." 
